CODGEO,LIBGEO,part_employes
Sainte-Maure-de-Peyriac,9.2,0
Saint-Maurice-de-Lestapel,0,0
Saint-Maurin,12.3,15.9
Saint-Nicolas-de-la-Balerme,0,54.1
Saint-Pardoux-du-Breuil,0,15.8
Saint-Pardoux-Isaac,3.3,35.5
Saint-Pastour,11.9,12.9
Saint-Pé-Saint-Simon,12.5,12.5
Saint-Pierre-de-Buzet,0,100
Saint-Pierre-de-Clairac,0,26.1
Saint-Pierre-sur-Dropt,3.2,8.5
Saint-Quentin-du-Dropt,8.4,0
Saint-Robert,0,50.1
Saint-Romain-le-Noble,0,48.9
Saint-Salvy,0,12.5
Saint-Sardos,0,34.5
Saint-Sauveur-de-Meilhan,0,10.2
Saint-Sernin,0,19.9
Saint-Sixte,0,0
Saint-Sylvestre-sur-Lot,6.1,18.7
Saint-Urcisse,0,0
Saint-Vincent-de-Lamontjoie,0,19.4
Saint-Vite,0,32.6
Salles,7.9,8
Samazan,6.7,10.1
Sauméjan,0,50.6
Saumont,0,41.7
Sauvagnas,0,10.1
La Sauvetat-de-Savères,0,29.4
La Sauvetat-du-Dropt,15.1,24.7
La Sauvetat-sur-Lède,9.8,9.9
Sauveterre-la-Lémance,19.9,26.4
Sauveterre-Saint-Denis,0,13.8
Savignac-de-Duras,0,16.5
Savignac-sur-Leyze,0,21.5
Ségalas,0,8.4
Sembas,0,25.5
Sénestis,0,0
Sérignac-Péboudou,0,0
Sérignac-sur-Garonne,8.7,16.6
Seyches,5.7,26.1
Sos,5.3,36.7
Soumensac,15.5,0
Taillebourg,24.6,0
Tayrac,0,27.5
Le Temple-sur-Lot,4.6,21.2
Thézac,0,6.6
Thouars-sur-Garonne,12.5,12.5
Tombebœuf,0,17.7
Tonneins,9.5,30.7
Tourliac,0,24.9
Tournon-d'Agenais,9,32.2
Tourtrès,0,0
Trémons,0,19.4
Trentels,2.1,16.5
Varès,0,6.3
Verteuil-d'Agenais,7.6,37.3
Vianne,0,30.5
Villebramar,0,0
Villefranche-du-Queyran,1.5,34.1
Villeneuve-de-Duras,4.9,9.3
Villeneuve-sur-Lot,12.3,32.2
Villeréal,4.4,37
Villeton,6.2,24.7
Virazeil,7.8,23.4
Xaintrailles,6.8,21.5
Saint-Georges,0,18.4
Albaret-le-Comtal,0,11.3
Albaret-Sainte-Marie,7.1,54.1
Allenc,22.8,14.5
Altier,0,16.2
Antrenas,1.7,31.8
Arzenc-d'Apcher,25,0
Arzenc-de-Randon,0,21.8
Peyre en Aubrac,4.7,21
Auroux,4.6,47.3
Les Monts-Verts,0,14
Badaroux,10.2,35
Pied-de-Borne,8,28.4
Balsièges,10.6,33.9
Banassac-Canilhac,4.1,21.1
Barjac,0,11.3
Barre-des-Cévennes,0,23.5
Bassurels,100,0
La Bastide-Puylaurent,0,21.7
Les Bessons,0,16.3
Blavignac,7.7,14.4
Mont Lozère et Goulet,9.4,36
Les Bondons,0,10
Le Born,N/A - division par 0,N/A - division par 0
Brenoux,0,15.8
Brion,0,23
Le Buisson,5.9,17.7
La Canourgue,13.5,26.4
Cassagnas,14.7,44.1
Chadenet,0,15.8
Bel-Air-Val-d'Ance,0,14.5
Chanac,4.7,24
Chastanier,N/A - division par 0,N/A - division par 0
Chastel-Nouvel,13.1,11.9
Châteauneuf-de-Randon,3.1,44.7
Chauchailles,0,14.1
Chaudeyrac,0,27.5
Chaulhac,0,0
Cheylard-l'Évêque,0,16.4
Bédouès-Cocurès,0,27.7
Le Collet-de-Dèze,2.5,42.5
Cubières,14.6,16.7
Cubiérettes,0,0
Cultures,0,0
Esclanèdes,5.5,10.8
La Fage-Montivernoux,7.7,0
La Fage-Saint-Julien,10,10
Florac Trois Rivières,11.8,31.6
Fontans,0,0
Fournels,2.5,39.9
Fraissinet-de-Fourques,0,13.6
Gabriac,0,0
Gabrias,20.2,39.4
Gatuzières,0,0
Grandrieu,4.9,27.6
Grandvals,0,0
Grèzes,N/A - division par 0,N/A - division par 0
Les Hermaux,0,0
Hures-la-Parade,0,23.4
Ispagnac,6.6,25.6
Julianges,0,0
Lajo,0,0
Langogne,9.9,35
Lanuéjols,26.8,8.1
Laubert,0,50.1
Les Laubies,12.4,12.9
Laval-du-Tarn,0,19.6
Luc,0,28.7
Prinsuéjols-Malbouzon,0,15
La Malène,0,10.7
Le Malzieu-Forain,0,0
Le Malzieu-Ville,5.1,32
Marchastel,0,34
Marvejols,9.9,33.7
Massegros Causses Gorges,1.5,14.4
Mende,14.2,31.5
Meyrueis,4.4,39.4
Moissac-Vallée-Française,5,29.1
Molezon,0,0
Bourgs sur Colagne,2.6,50.9
Montbel,0,0
Montrodat,6.2,38.6
Nasbinals,4.1,33.1
Naussac-Fontanes,0,10.9
Noalhac,0,0
Palhers,5.9,23.7
La Panouse,0,0
Paulhac-en-Margeride,20,0
Pelouse,0,23.6
Pierrefiche,0,42.6
Le Pompidou,9.1,9.1
Pont de Montvert - Sud Mont Lozère,0,32.9
Pourcharesses,25,12.5
Prévenchères,6.6,13.2
Prunières,0,26.8
Recoules-d'Aubrac,0,27.5
Recoules-de-Fumas,0,0
Lachamp-Ribennes,8.1,0
Monts-de-Randon,5.2,25.9
Rimeize,7.7,32.6
Rocles,0,0
Rousses,0,0
Le Rozier,24.9,12.3
Saint-Alban-sur-Limagnole,7.5,37
Saint-André-Capcèze,0,39
Saint-André-de-Lancize,0,0
Saint-Bauzile,25.9,8.9
Saint-Bonnet-de-Chirac,0,0
Saint Bonnet-Laval,4.2,17.5
Saint-Chély-d'Apcher,12.3,27.1
Mas-Saint-Chély,16.7,0
Sainte-Croix-Vallée-Française,4.8,23.4
Saint-Denis-en-Margeride,0,0
Gorges du Tarn Causses,9.5,13.8
Saint-Étienne-du-Valdonnez,3.2,24.2
Saint-Étienne-Vallée-Française,6.7,26.8
Sainte-Eulalie,0,0
Saint-Flour-de-Mercoire,8.7,0
Saint-Frézal-d'Albuges,0,0
Ventalon en Cévennes,7.2,28.3
Saint-Gal,33.3,0
Saint-Germain-de-Calberte,5.8,20.1
Saint-Germain-du-Teil,5.1,47.4
Sainte-Hélène,0,0
Saint-Hilaire-de-Lavit,0,0
Saint-Jean-la-Fouillouse,0,0
Saint-Juéry,0,33.8
Saint-Julien-des-Points,32.1,34.9
Saint-Laurent-de-Muret,0,0
Cans et Cévennes,0,16.1
Saint-Laurent-de-Veyrès,N/A - division par 0,N/A - division par 0
Saint-Léger-de-Peyre,13.2,12.9
Saint-Léger-du-Malzieu,0,0
Saint-Martin-de-Boubaux,16.7,0
Saint-Martin-de-Lansuscle,11.1,11.1
Saint-Michel-de-Dèze,0,8.2
Saint-Paul-le-Froid,0,0
Saint-Pierre-de-Nogaret,0,0
Saint-Pierre-des-Tripiers,0,22.5
Saint-Pierre-le-Vieux,0,0
Saint-Privat-de-Vallongue,0,23
Saint-Privat-du-Fau,0,0
Saint-Saturnin,0,100
Saint-Sauveur-de-Ginestoux,0,0
Les Salelles,N/A - division par 0,N/A - division par 0
Les Salces,0,0
Serverette,8.8,30.8
Termes,16.8,15.9
La Tieule,15.7,21.9
Trélans,0,14.3
Vebron,14.2,0
Vialas,12.8,36.4
Villefort,11.8,26.1
Allonnes,2.7,20.7
Tuffalun,6.5,23.2
Angers,21.7,30.2
Angrie,0,11
Antoigné,14.4,14.3
Armaillé,11.1,0
Artannes-sur-Thouet,21.2,36
Aubigné-sur-Layon,11,22.3
Avrillé,14.9,26.4
Baracé,9.3,18.1
Baugé-en-Anjou,8.9,24.9
Beaucouzé,20.1,23.5
Beaufort-en-Anjou,11.9,28.1
Beaulieu-sur-Layon,4.5,17.2
Beaupréau-en-Mauges,9.8,25.8
Bécon-les-Granits,10.3,31.8
Bégrolles-en-Mauges,7.8,18.1
Béhuard,0,0
Blaison-Saint-Sulpice,6.5,25.6
Blou,0,5.6
Bouchemaine,15.1,30.9
Bouillé-Ménard,0,38
Bourg-l'Évêque,0,18.8
Brain-sur-Allonnes,1.8,16.9
La Breille-les-Pins,6.6,29.2
Briollay,9.2,30.7
Brissac Loire Aubance,9.8,23
Brossay,4.5,18.1
Candé,11.5,29.9
Cantenay-Épinard,15.2,23.7
Carbay,0,49.4
Cernusson,0,18.6
Les Cerqueux,10.3,11.6
Bellevigne-les-Châteaux,9.9,16.3
Challain-la-Potherie,0,10.2
Chalonnes-sur-Loire,10.6,30.2
Chambellay,15,8.9
Chenillé-Champteussé,11.4,27.2
Champtocé-sur-Loire,18.1,13.1
Orée d'Anjou,8.9,27.4
Chanteloup-les-Bois,0,18.8
La Chapelle-Saint-Laud,18.2,18.2
Les Hauts-d'Anjou,9,28.9
Chaudefonds-sur-Layon,9.8,25.3
Terranjou,8.9,22.7
Chazé-sur-Argos,0,16.2
Cheffes,9.8,27.1
Chemillé-en-Anjou,7.6,23.4
Cholet,14.7,24.8
Cizay-la-Madeleine,0,4.5
Cléré-sur-Layon,11.4,15.7
Cornillé-les-Caves,8.3,1.3
Coron,3.1,38.3
Corzé,3.6,33.1
Le Coudray-Macouard,5,18.4
Courchamps,0,16.5
Courléon,0,49.4
Denée,6,23.9
Dénezé-sous-Doué,0,20.5
Distré,7.1,27.7
Doué-en-Anjou,8.5,26.7
Durtal,10,18.5
Écouflant,13.7,10.5
Écuillé,9.4,11.1
Épieds,0,30.7
Étriché,1.5,23.3
Feneu,2.1,44
Les Bois d'Anjou,2.5,20.2
Fontevraud-l'Abbaye,5.6,66
Grez-Neuville,7.1,33.9
Ingrandes-le-Fresne-sur-Loire,12.4,29
La Jaille-Yvon,12.2,16.5
Jarzé Villages,6.2,26.7
Les Garennes sur Loire,10.2,21.3
Juvardeil,5,5.1
La Lande-Chasles,0,0
Huillé-Lézigné,9.4,8
Le Lion-d'Angers,10.2,24.1
Loiré,0,10.2
Longué-Jumelles,10.4,21
Louresse-Rochemenier,5.4,10.7
Val d'Erdre-Auxence,9.7,26.6
Marcé,2.8,42.1
Maulévrier,10.3,17.6
Le May-sur-Èvre,15.6,18.9
Mazé-Milon,6.6,37.2
Mazières-en-Mauges,17,10.5
Longuenée-en-Anjou,7.4,18.6
La Ménitré,20.1,13.4
Miré,2,38.1
Montigné-lès-Rairies,0,16.9
Montilliers,8.3,11.9
Montreuil-Juigné,12.3,29.6
Montreuil-Bellay,10.2,19.7
Montreuil-sur-Loir,31.2,16.6
Montreuil-sur-Maine,0,24.1
Montrevault-sur-Èvre,11.4,21.1
Montsoreau,21.9,17.2
Morannes sur Sarthe-Daumeray,4.6,16.4
Mouliherne,14.9,4.4
Mozé-sur-Louet,6.8,13.7
Mûrs-Erigné,11.4,43
Neuillé,13.1,9.2
Noyant-Villages,8.5,18.7
Nuaillé,11.1,12.2
Parnay,10.7,16.4
Passavant-sur-Layon,0,12.4
La Pellerine,0,12.3
La Plaine,5.3,18.6
Le Plessis-Grammoire,13.4,17.1
Mauges-sur-Loire,8.2,22.3
Les Ponts-de-Cé,14.9,26.8
La Possonnière,12.6,26.1
Ombrée d'Anjou,9,25.4
Le Puy-Notre-Dame,2.2,15.1
Les Rairies,7.5,19.7
Rochefort-sur-Loire,8.4,24.2
La Romagne,6.8,14.4
Gennes-Val-de-Loire,8.3,25.4
Rou-Marson,0,45.2
Saint-Augustin-des-Bois,2,24.4
Saint-Barthélemy-d'Anjou,12.8,21
Saint-Christophe-du-Bois,3.6,14.5
Saint-Clément-de-la-Place,4.5,19.8
Saint-Clément-des-Levées,3.1,12.3
Sainte-Gemmes-sur-Loire,13.7,22.9
Saint-Georges-sur-Loire,8.4,37.6
Saint-Germain-des-Prés,7.8,9.9
Saint-Jean-de-la-Croix,0,0
Saint-Just-sur-Dive,0,21.8
Val-du-Layon,4.3,27.6
Saint-Lambert-la-Potherie,6.1,21.2
Saint-Léger-de-Linières,10.2,21.2
Saint-Léger-sous-Cholet,5.3,23.1
Sèvremoine,8.5,23.8
Saint-Macaire-du-Bois,6,9.5
Saint-Martin-du-Fouilloux,11.2,17.6
Loire-Authion,11.8,24.7
Saint-Melaine-sur-Aubance,8.7,27.9
Saint-Paul-du-Bois,0,29.1
Saint-Philbert-du-Peuple,0,12.5
Verrières-en-Anjou,12.3,22.7
Sarrigné,0,57.4
Saumur,13.6,32.2
Savennières,7.5,22.3
Sceaux-d'Anjou,0,17.7
Segré-en-Anjou Bleu,9.1,24
La Séguinière,7.7,19.6
Seiches-sur-le-Loir,11.6,19.6
Sermaise,0,8.9
Somloire,11.5,14.7
Soulaines-sur-Aubance,19.7,16.2
Soulaire-et-Bourg,8.3,21.6
Souzay-Champigny,0,16.3
La Tessoualle,7.3,17.6
Thorigné-d'Anjou,11.3,32
Bellevigne-en-Layon,8.5,23.4
Tiercé,9.4,27.1
Toutlemonde,3.3,21.7
Trélazé,13.3,29.5
Trémentines,5.1,19.7
Turquant,1.3,29.1
Les Ulmes,0,18.5
Varennes-sur-Loire,3.8,30.7
Varrains,3.1,29.5
Vaudelnay,9.1,14.9
Erdre-en-Anjou,3.7,25.7
Vernantes,1.9,37.8
Vernoil-le-Fourrier,4.8,32.6
Verrie,0,57.5
Vezins,5.4,21
Lys-Haut-Layon,6.3,24
Villebernier,5.6,12.9
Rives-du-Loir-en-Anjou,5.5,21.5
Vivy,7.3,24
Yzernay,6.7,12.9
Agneaux,9.5,27.8
Agon-Coutainville,11.2,32.8
Airel,8.3,24.6
Amigny,0,39.7
Anctoville-sur-Boscq,0,33.3
Anneville-en-Saire,6.3,19.6
Appeville,0,0
Aucey-la-Plaine,8.2,8.6
Audouville-la-Hubert,0,0
Aumeville-Lestre,0,68.2
Auvers,0,24.7
Auxais,20,60
Avranches,13,33.5
Azeville,N/A - division par 0,N/A - division par 0
Bacilly,2.4,25.1
La Baleine,0,0
Barenton,8,30.5
Barfleur,2.5,31
Barneville-Carteret,7.2,39.9
La Barre-de-Semilly,0,26
Baubigny,0,0
Baudre,9.7,43.1
Baupte,11.5,3
Beauchamps,4.7,14.3
Beaucoudray,0,0
Beauficel,0,16.5
La Hague,15.8,15.9
Beauvoir,6.6,24.6
Belval,0,20
Benoîtville,4.2,30
Bérigny,0,0
Beslon,0,7.6
Besneville,0,25.2
Beuvrigny,20.1,0
Beuzeville-la-Bastille,7.5,54.7
Biéville,0,33.3
Biniville,0,0
Blainville-sur-Mer,5.3,23.8
Blosville,0,28.9
La Bloutière,0,41.9
Boisyvon,N/A - division par 0,N/A - division par 0
La Bonneville,0,16.6
Jullouville,6.8,32.6
Bourguenolles,6.3,15.8
Boutteville,0,0
Brainville,15.9,0
Brécey,5.2,20.6
Bréhal,12.7,29.9
Bretteville,5.1,39.1
Bretteville-sur-Ay,5.9,11.9
Breuville,0,0
Bréville-sur-Mer,5.6,30.3
Bricquebec-en-Cotentin,6.4,33.5
Bricquebosq,0,9.8
Bricqueville-la-Blouette,0,39.9
Bricqueville-sur-Mer,0,19.1
Brillevast,0,15.2
Brix,4.9,12.8
Brouains,0,49.4
Buais-Les-Monts,0,20.3
Cambernon,0,37.8
Cametours,0,14.1
Camprond,0,13.1
Canisy,5.6,21.8
Canteloup,33.3,0
Canville-la-Rocque,0,0
Carantilly,0,8.6
Carentan-les-Marais,7.2,28.2
Carneville,0,51.9
Carolles,5.8,28.2
Catteville,0,0
Cavigny,0,11.3
Céaux,0,17.4
Cérences,6.8,19.2
Cerisy-la-Forêt,1.6,32.2
Cerisy-la-Salle,4,27.9
La Chaise-Baudouin,0,28.1
Le Grippon,0,18.3
Champeaux,10.7,11.2
Champrepus,0,15.8
Chanteloup,0,24.4
La Chapelle-Cécelin,0,0
La Chapelle-Urée,0,0
Chavoy,0,19.5
Cherbourg-en-Cotentin,15.9,30.5
Chérencé-le-Héron,0,24.5
Clitourps,0,0
La Colombe,4.8,32.2
Colomby,5.5,21.5
Condé-sur-Vire,10.8,17.3
Vicq-sur-Mer,4.5,40.5
Coudeville-sur-Mer,2.8,14.7
Coulouvray-Boisbenâtre,10.1,39.7
Courcy,11.6,28.6
Courtils,14.4,11.6
Coutances,11.4,31.1
Couvains,0,8.1
Couville,9.5,29
Crasville,0,26.4
Créances,4.1,19.8
Les Cresnays,0,18.4
Crollon,16.5,16.9
Crosville-sur-Douve,0,50
Cuves,0,0
Dangy,0,36.6
Le Dézert,5.4,24.8
Digosville,8.4,30.5
Domjean,14.7,14.2
Donville-les-Bains,15.3,31.2
Doville,0,16.9
Dragey-Ronthon,8.1,11.5
Ducey-Les Chéris,10.6,17.6
Écausseville,0,0
Émondeville,0,50.1
Équilly,0,33.5
Éroudeville,0,15.9
L'Étang-Bertrand,0,33.1
Étienville,0,42.3
Fermanville,9.1,45.5
Feugères,0,28.9
La Feuillie,0,60.3
Fierville-les-Mines,0,0
Flamanville,20.9,12.4
Fleury,9.5,19.2
Flottemanville,0,0
Folligny,0,20.3
Fontenay-sur-Mer,0,33.8
Fourneaux,0,0
Le Fresne-Poret,0,27.4
Fresville,0,100
Gathemo,0,0
Gatteville-le-Phare,12.3,7.2
Gavray-sur-Sienne,8.7,20.1
Geffosses,5.3,15.5
Genêts,8.3,24.7
Ger,8.7,17.6
La Godefroy,0,50.3
Golleville,0,0
Gonfreville,22.7,8.4
Gonneville-Le Theil,2.5,36.9
Gorges,7.4,0
Gouvets,0,10.2
Gouville-sur-Mer,5.9,23
Graignes-Mesnil-Angot,6.6,16.9
Le Grand-Celland,0,3.9
Granville,9.5,34.9
Gratot,0,6.6
Grimesnil,0,0
Grosville,0,25
Le Guislain,0,0
Le Ham,0,18.3
Hambye,7.2,22.5
Hamelin,0,24.5
Hardinvast,5.3,32
Hauteville-sur-Mer,6.4,19.7
Hauteville-la-Guichard,0,0
Hautteville-Bocage,25,25
La Haye-Bellefond,0,18.8
La Haye-d'Ectot,50.1,0
La Haye,4.6,28.5
La Haye-Pesnel,13.5,34.5
Héauville,0,0
Thèreval,3.1,16.3
Helleville,0,0
Hémevez,0,0
Heugueville-sur-Sienne,0,13.8
Hiesville,N/A - division par 0,N/A - division par 0
Hocquigny,N/A - division par 0,N/A - division par 0
Huberville,0,25.8
Hudimesnil,8.7,21.5
Huisnes-sur-Mer,9.9,0
Isigny-le-Buat,5.5,14.7
Joganville,0,20.4
Juilley,4,4.8
Juvigny les Vallées,4.9,18.4
Lamberville,0,49.8
La Lande-d'Airou,0,21.1
Lapenty,0,33.5
Laulne,0,0
Lengronne,5.6,14.1
Lessay,13.4,19.7
Lestre,8.7,6.1
Liesville-sur-Douve,0,25.9
Lieusaint,12.1,11.6
Lingeard,N/A - division par 0,N/A - division par 0
Tourneville-sur-Mer,5.8,31.3
Montsenelle,3.6,22.9
Les Loges-Marchis,0,30.5
Les Loges-sur-Brécey,0,25
Lolif,0,31.6
Longueville,8.8,17
Le Loreur,0,14
Le Lorey,0,21.1
La Lucerne-d'Outremer,3.9,18.7
Le Luot,0,22.2
La Luzerne,0,19.1
Magneville,12,33.5
Marcey-les-Grèves,6.1,29.8
Marchésieux,6.6,23.5
Marcilly,0,0
Margueray,N/A - division par 0,N/A - division par 0
Marigny-Le-Lozon,11.7,23
Martinvast,7.4,31.8
Maupertuis,0,0
Maupertus-sur-Mer,0,37.2
La Meauffe,3.5,32.2
Méautis,6.2,9.2
Le Mesnil,35.6,0
Le Mesnil-Adelée,0,14.4
Le Mesnil-Amey,0,0
Le Mesnil-Aubert,12.5,0
Le Mesnil-au-Val,0,32.4
Le Mesnil-Eury,32,24.9
Le Mesnil-Garnier,0,15.6
Le Mesnil-Gilbert,0,0
Le Mesnillard,0,7.3
Le Mesnil-Ozenne,0,52.6
Le Mesnil-Rouxelin,0,33.3
Le Mesnil-Véneron,0,33.3
Le Mesnil-Villeman,0,24.7
La Meurdraquière,0,0
Millières,0,15.2
Les Moitiers-d'Allonne,4.6,17.5
Montabot,0,7.9
Montaigu-la-Brisette,0,20.1
Montaigu-les-Bois,0,0
Montbray,6.9,6
Montcuit,0,0
Montebourg,4.4,32.2
Montfarville,6.9,32.3
Monthuchon,0,34.7
Montjoie-Saint-Martin,0,0
Montmartin-sur-Mer,17.4,41.9
Montpinchon,0,29.8
Montrabot,N/A - division par 0,N/A - division par 0
Montreuil-sur-Lozon,0,21.4
Le Mont-Saint-Michel,7.1,44
Moon-sur-Elle,6.1,24.8
Morigny,0,55.6
Mortain-Bocage,11,31.8
Morville,0,38.6
La Mouche,0,14.4
Moulines,0,28.1
Moyon Villages,6.1,13.5
Muneville-le-Bingard,10.4,15.6
Muneville-sur-Mer,7.1,15.8
Nay,N/A - division par 0,N/A - division par 0
Négreville,0,29.1
Néhou,0,23.1
Le Neufbourg,7.6,38
Neufmesnil,0,60.2
Neuville-au-Plain,0,0
Neuville-en-Beaumont,N/A - division par 0,N/A - division par 0
Nicorps,0,14.9
Notre-Dame-de-Cenilly,0,16.1
Notre-Dame-de-Livoye,33.3,0
Nouainville,0,63.6
Octeville-l'Avenel,8.1,7.2
Orglandes,0,40.9
Orval sur Sienne,4.5,20.2
Ouville,7.3,28.6
Ozeville,0,20.1
Grandparigny,9.4,33.8
Percy-en-Normandie,5.5,34
Périers,4.1,39.1
La Pernelle,0,19.8
Perriers-en-Beauficel,24.9,0
Le Perron,0,50.4
Le Petit-Celland,0,20
Picauville,3.8,39.7
Pierreville,0,19.5
Les Pieux,14.7,33.7
Pirou,5.3,24.4
Le Plessis-Lastelle,0,1.6
Poilley,5.4,12.9
Pontaubault,0,18
Pont-Hébert,10.8,22
Pontorson,6.1,38.6
Ponts,9.8,24.1
Port-Bail-sur-Mer,9.3,23.9
Précey,10.7,34.4
Quettehou,3.1,37.8
Quettreville-sur-Sienne,5.2,21.4
Quibou,0,16.2
Quinéville,15.4,27.5
Raids,0,0
Rampan,0,40
Rauville-la-Bigot,0,33.8
Rauville-la-Place,23.5,23.9
Reffuveille,4,28.4
Regnéville-sur-Mer,13,9.3
Reigneville-Bocage,N/A - division par 0,N/A - division par 0
Remilly Les Marais,7.9,6.3
Réville,4.3,13.9
Rocheville,8.1,22.7
Romagny Fontenay,8.1,5.5
Roncey,1,17.5
Le Rozel,0,22.8
Sacey,0,25.1
Saint-Amand-Villages,4.6,31.7
Saint-André-de-Bohon,0,50.5
Saint-André-de-l'Épine,9.5,19.3
Saint-Aubin-des-Préaux,0,17.4
Saint-Aubin-de-Terregatte,4.6,21.9
Saint-Barthélemy,0,32.8
Saint-Brice,65.9,0
Saint-Brice-de-Landelles,0,6.4
Sainte-Cécile,5.3,11.9
Saint-Christophe-du-Foc,0,48.6
Saint-Clair-sur-l'Elle,9.7,25
Saint-Clément-Rancoudray,0,12.6
Sainte-Colombe,0,0
Saint-Cyr,0,20
Saint-Cyr-du-Bailleul,0,0
Saint-Denis-le-Gast,8.3,8.3
Saint-Denis-le-Vêtu,16.4,22.4
Saint-Floxel,0,34
Saint-Fromond,11.9,10.8
Sainte-Geneviève,5.4,9.9
Saint-Georges-de-la-Rivière,18.3,0
Saint-Georges-de-Livoye,0,25
Saint-Georges-d'Elle,0,25.7
Saint-Georges-de-Rouelley,2.4,24.7
Saint-Georges-Montcocq,1.4,21.9
Saint-Germain-d'Elle,25,0
Saint-Germain-de-Tournebut,0,40.2
Saint-Germain-de-Varreville,0,33.5
Saint-Germain-le-Gaillard,6.6,33.4
Saint-Germain-sur-Ay,0,14.6
Saint-Germain-sur-Sèves,0,0
Saint-Gilles,1.7,26
Saint-Hilaire-du-Harcouët,10,29.1
Saint-Jacques-de-Néhou,0,9.1
Saint-James,5.9,33
Saint-Jean-de-Daye,25.6,24.3
Saint-Jean-de-la-Haize,0,18.1
Saint-Jean-de-la-Rivière,54.2,9.6
Saint-Jean-de-Savigny,0,20.9
Saint-Jean-d'Elle,3.1,26.4
Saint-Jean-des-Champs,10.6,21.3
Saint-Jean-du-Corail-des-Bois,0,0
Saint-Jean-le-Thomas,0,26.2
Saint-Joseph,0,23.5
Saint-Laurent-de-Cuves,4.9,10.1
Saint-Laurent-de-Terregatte,11,22.6
Saint-Lô,15.2,32.6
Saint-Louet-sur-Vire,0,0
Saint-Loup,0,0
Saint-Malo-de-la-Lande,13.9,14.5
Saint-Marcouf,0,18.7
Sainte-Marie-du-Mont,7.3,21.8
Saint-Martin-d'Aubigny,0,46.2
Saint-Martin-d'Audouville,0,0
Saint-Martin-de-Bonfossé,0,26.3
Saint-Martin-de-Cenilly,0,0
Chaulieu,32.4,0
Saint-Martin-de-Varreville,0,33.9
Saint-Martin-le-Bouillant,7.7,23.5
Saint-Martin-le-Gréard,0,19.4
Saint-Maur-des-Bois,0,0
Saint-Maurice-en-Cotentin,0,25.3
Sainte-Mère-Église,8.9,27.3
Saint-Michel-de-Montjoie,12.2,0
Saint-Nicolas-de-Pierrepont,0,16.6
Saint-Nicolas-des-Bois,0,18.8
Saint-Ovin,6.7,13.1
Saint-Pair-sur-Mer,12.9,25
Saint-Patrice-de-Claids,0,7.7
Le Parc,3.5,15
Saint-Pierre-d'Arthéglise,0,0
Saint-Pierre-de-Coutances,12.1,13
Saint-Pierre-de-Semilly,8.8,28.1
Saint-Pierre-Église,10.3,35.7
Saint-Pierre-Langers,3.5,31.9
Saint-Planchers,0,35.4
Saint-Pois,7.4,27.2
Saint-Quentin-sur-le-Homme,11.7,24.8
Bourgvallées,6.1,10.7
Saint-Sauveur-de-Pierrepont,0,0
Saint-Sauveur-la-Pommeraye,32.7,0
Saint-Sauveur-Villages,5.4,27.3
Saint-Sauveur-le-Vicomte,7.6,35.2
Saint-Sébastien-de-Raids,5.7,17.1
Saint-Senier-de-Beuvron,0,31.7
Saint-Senier-sous-Avranches,5.1,18.6
Sainte-Suzanne-sur-Vire,0,39.8
Saint-Vaast-la-Hougue,9.3,27.9
Saint-Vigor-des-Monts,0,12.6
Terre-et-Marais,2.3,17.7
Sartilly-Baie-Bocage,8.2,30.8
Saussemesnil,7.2,51.1
Saussey,0,15.6
Savigny,0,0
Savigny-le-Vieux,0,6.3
Sébeville,0,0
Sénoville,20.1,0
Servon,0,22.2
Sideville,14.1,20.6
Siouville-Hague,6,45.3
Sortosville-en-Beaumont,0,37.2
Sortosville,23.5,51.4
Sottevast,3.8,13.4
Sotteville,6.8,36.8
Sourdeval,5.4,37
Subligny,0,0
Surtainville,2.7,13.2
Taillepied,0,0
Tamerville,8.5,8.3
Tanis,0,0
Le Tanu,0,23.9
Le Teilleul,5.9,22.3
Tessy-Bocage,10.5,21.4
Teurthéville-Bocage,0,13.3
Teurthéville-Hague,0,16.3
Théville,0,21.6
Tirepied-sur-Sée,2.9,20.4
Tocqueville,9.4,13.4
Tollevast,6.4,40.7
Torigny-les-Villes,6.9,26.6
Tourville-sur-Sienne,11.2,34.5
Tréauville,7.5,15.7
Tribehou,4.1,24
La Trinité,0,30.3
Turqueville,0,51.7
Urville,17.6,0
Vains,21.1,21
Valcanville,0,10
Valognes,9.1,28.9
Le Val-Saint-Père,11.6,25.9
Varenguebec,20.4,19.6
Varouville,0,26.5
Le Vast,0,25.3
Vaudreville,0,100
La Vendelée,0,19.6
Ver,7.7,12.5
Vernix,0,10.2
Vesly,3.4,7.1
Le Vicel,33.3,0
Videcosville,N/A - division par 0,N/A - division par 0
Villebaudon,0,13.2
Villedieu-les-Poêles-Rouffigny,6.4,29.2
Villiers-Fossard,0,16.1
Virandeville,15.5,12.8
Yquelon,11.3,55.4
Yvetot-Bocage,7,24.5
Ablancourt,0,0
Saint-Martin-d'Ablois,7.1,22.2
Aigny,0,0
Allemanche-Launay-et-Soyer,0,0
Allemant,0,0
Alliancelles,0,0
Ambonnay,3.5,15.6
Ambrières,33.3,33.3
Anglure,11.3,28.4
Angluzelles-et-Courcelles,0,0
Anthenay,0,0
Aougny,0,0
Arcis-le-Ponsart,0,16.9
Argers,0,16.5
Arrigny,0,42.7
Arzillières-Neuville,0,0
Athis,2.9,33.4
Aubérive,0,21.3
